[github]
time_utc,Git Operations,GitHub Pages,"Issues, PRs, Dashboard, Projects",Notifications,Visit www.githubstatus.com for more information,API Requests,Gists
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
2019-04-17 09:53:51.471162182 +0000 UTC,operational,operational,operational,operational,operational,operational,operational
[bitbucket]
time_utc,Git LFS,Git via HTTPS,Marketplace Apps,Pipelines,Source downloads,Website,Webhooks,API,AWS CodeDeploy App,Atlassian account signup and login,Email delivery,Mercurial via HTTPS,SSH
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
2019-04-17 12:53:13.951220913 +0000 UTC,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational,operational
